Electorial Dvision,State,Area (sq km)
Bean ,ACT ,"1,913"
Canberra ,ACT ,312
Fenner ,ACT ,238
Banks ,NSW ,53
Barton ,NSW ,40
Bennelong ,NSW ,60
Berowra ,NSW ,786
Blaxland ,NSW ,61
Bradfield ,NSW ,101
Calare ,NSW ,"32,666"
Chifley ,NSW ,126
Cook ,NSW ,94
Cowper ,NSW ,"7,296"
Cunningham ,NSW ,519
Dobell ,NSW ,787
Eden-Monaro ,NSW ,"41,617"
Farrer ,NSW ,"126,590"
Fowler ,NSW ,60
Gilmore ,NSW ,"6,342"
Grayndler ,NSW ,32
Greenway ,NSW ,81
Hughes ,NSW ,369
Hume ,NSW ,"17,240"
Hunter ,NSW ,"10,640"
Kingsford Smith ,NSW ,91
Lindsay ,NSW ,339
Lyne ,NSW ,"16,099"
Macarthur ,NSW ,363
Mackellar ,NSW ,233
Macquarie ,NSW ,"4,374"
McMahon ,NSW ,168
Mitchell ,NSW ,101
Newcastle ,NSW ,171
New England ,NSW ,"66,394"
North Sydney ,NSW ,53
Page ,NSW ,"19,342"
Parkes ,NSW ,"393,413"
Parramatta ,NSW ,57
Paterson ,NSW ,"1,123"
Reid ,NSW ,55
Richmond ,NSW ,"2,148"
Riverina ,NSW ,"48,988"
Robertson ,NSW ,980
Shortland ,NSW ,265
Sydney ,NSW ,44
Warringah ,NSW ,68
Watson ,NSW ,47
Wentworth ,NSW ,38
Werriwa ,NSW ,172
Whitlam ,NSW ,"1,331"
Lingiari ,NT ,"1,348,158"
Solomon ,NT ,191
Blair ,Qld ,"6,472"
Bonner ,Qld ,374
Bowman ,Qld ,536
Brisbane ,Qld ,57
Capricornia ,Qld ,"90,903"
Dawson ,Qld ,"14,630"
Dickson ,Qld ,724
Fadden ,Qld ,387
Fairfax ,Qld ,"1,004"
Fisher ,Qld ,"1,198"
Flynn ,Qld ,"132,824"
Forde ,Qld ,418
Griffith ,Qld ,57
Groom ,Qld ,"5,586"
Herbert ,Qld ,941
Hinkler ,Qld ,"3,818"
Kennedy ,Qld ,"567,377"
Leichhardt ,Qld ,"148,559"
Lilley ,Qld ,144
Longman ,Qld ,"1,237"
Maranoa ,Qld ,"729,897"
McPherson ,Qld ,229
Moncrieff ,Qld ,100
Moreton ,Qld ,109
Oxley ,Qld ,159
Petrie ,Qld ,152
Rankin ,Qld ,131
Ryan ,Qld ,370
Wide Bay ,Qld ,"14,227"
Wright ,Qld ,"7,577"
Adelaide ,SA ,86
Barker ,SA ,"65,206"
Boothby ,SA ,115
Grey ,SA ,"908,595"
Hindmarsh ,SA ,122
Kingston ,SA ,165
Makin ,SA ,162
Mayo ,SA ,"9,135"
Spence ,SA ,532
Sturt ,SA ,97
Bass ,Tas. ,"7,975"
Braddon ,Tas. ,"21,369"
Clark ,Tas. ,292
Franklin ,Tas. ,"10,009"
Lyons ,Tas. ,"35,721"
Aston ,Vic. ,114
Ballarat ,Vic. ,"5,399"
Bendigo ,Vic. ,"5,285"
Bruce ,Vic. ,115
Calwell ,Vic. ,221
Casey ,Vic. ,"2,481"
Chisholm ,Vic. ,77
Cooper ,Vic. ,59
Corangamite ,Vic. ,"1,506"
Corio ,Vic. ,773
Deakin ,Vic. ,85
Dunkley ,Vic. ,153
Flinders ,Vic. ,871
Fraser ,Vic. ,88
Gellibrand ,Vic. ,146
Gippsland ,Vic. ,"33,131"
Goldstein ,Vic. ,51
Gorton ,Vic. ,217
Hawke ,Vic. ,"1,842"
Higgins ,Vic. ,39
Holt ,Vic. ,258
Hotham ,Vic. ,78
Indi ,Vic. ,"29,187"
Isaacs ,Vic. ,156
Jagajaga ,Vic. ,126
Kooyong ,Vic. ,59
Lalor ,Vic. ,464
La Trobe ,Vic. ,"1,327"
Macnamara ,Vic. ,40
Mallee ,Vic. ,"83,412"
Maribyrnong ,Vic. ,98
McEwen ,Vic. ,"2,676"
Melbourne ,Vic. ,40
Menzies ,Vic. ,137
Monash ,Vic. ,"8,255"
Nicholls ,Vic. ,"14,773"
Scullin ,Vic. ,116
Wannon ,Vic. ,"33,595"
Wills ,Vic. ,46
Brand ,WA ,378
Burt ,WA ,190
Canning ,WA ,"4,245"
Cowan ,WA ,95
Curtin ,WA ,98
Durack ,WA ,"1,383,954"
Forrest ,WA ,"8,014"
Fremantle ,WA ,194
Hasluck ,WA ,"1,323"
Moore ,WA ,102
O'Connor ,WA ,"1,126,937"
Pearce ,WA ,783
Perth ,WA ,80
Swan ,WA ,151
Tangney ,WA ,102
Batman ,Vic. ,0
McMillan ,Vic. ,0
Melbourne Ports ,Vic. ,0
Murray ,Vic. ,0
Port Adelaide ,SA ,0
Wakefield ,SA ,0
Stirling ,WA ,0
Denison ,Tas. ,0
