area,statistic,age_category,quantity,State
Banks,Total participants,18-19 years,2355.0,New South Wales
Banks,Eligible participants,18-19 years,2945.0,New South Wales
Banks,Participation rate (%),18-19 years,80.0,New South Wales
Banks,Total participants,20-24 years,6361.0,New South Wales
Banks,Eligible participants,20-24 years,8319.0,New South Wales
Banks,Participation rate (%),20-24 years,76.5,New South Wales
Banks,Total participants,25-29 years,5933.0,New South Wales
Banks,Eligible participants,25-29 years,7995.0,New South Wales
Banks,Participation rate (%),25-29 years,74.2,New South Wales
Banks,Total participants,30-34 years,5913.0,New South Wales
Banks,Eligible participants,30-34 years,8258.0,New South Wales
Banks,Participation rate (%),30-34 years,71.6,New South Wales
Banks,Total participants,35-39 years,6336.0,New South Wales
Banks,Eligible participants,35-39 years,8559.0,New South Wales
Banks,Participation rate (%),35-39 years,74.0,New South Wales
Banks,Total participants,40-44 years,6726.0,New South Wales
Banks,Eligible participants,40-44 years,8750.0,New South Wales
Banks,Participation rate (%),40-44 years,76.9,New South Wales
Banks,Total participants,45-49 years,7354.0,New South Wales
Banks,Eligible participants,45-49 years,9290.0,New South Wales
Banks,Participation rate (%),45-49 years,79.2,New South Wales
Banks,Total participants,50-54 years,7455.0,New South Wales
Banks,Eligible participants,50-54 years,9258.0,New South Wales
Banks,Participation rate (%),50-54 years,80.5,New South Wales
Banks,Total participants,55-59 years,7752.0,New South Wales
Banks,Eligible participants,55-59 years,9347.0,New South Wales
Banks,Participation rate (%),55-59 years,82.9,New South Wales
Banks,Total participants,60-64 years,6801.0,New South Wales
Banks,Eligible participants,60-64 years,8017.0,New South Wales
Banks,Participation rate (%),60-64 years,84.8,New South Wales
Banks,Total participants,65-69 years,5944.0,New South Wales
Banks,Eligible participants,65-69 years,6777.0,New South Wales
Banks,Participation rate (%),65-69 years,87.7,New South Wales
Banks,Total participants,70-74 years,4906.0,New South Wales
Banks,Eligible participants,70-74 years,5501.0,New South Wales
Banks,Participation rate (%),70-74 years,89.2,New South Wales
Banks,Total participants,75-79 years,3721.0,New South Wales
Banks,Eligible participants,75-79 years,4165.0,New South Wales
Banks,Participation rate (%),75-79 years,89.3,New South Wales
Banks,Total participants,80-84 years,3024.0,New South Wales
Banks,Eligible participants,80-84 years,3474.0,New South Wales
Banks,Participation rate (%),80-84 years,87.0,New South Wales
Banks,Total participants,85 years and over,3265.0,New South Wales
Banks,Eligible participants,85 years and over,4027.0,New South Wales
Banks,Participation rate (%),85 years and over,81.1,New South Wales
Banks,Total participants,Age or gender ndf,480.0,New South Wales
Banks,Eligible participants,Age or gender ndf,572.0,New South Wales
Banks,Participation rate (%),Age or gender ndf,83.9,New South Wales
Banks,Total participants,Total Persons,84326.0,New South Wales
Banks,Eligible participants,Total Persons,105254.0,New South Wales
Banks,Participation rate (%),Total Persons,80.1,New South Wales
Barton,Total participants,18-19 years,2038.0,New South Wales
Barton,Eligible participants,18-19 years,2587.0,New South Wales
Barton,Participation rate (%),18-19 years,78.8,New South Wales
Barton,Total participants,20-24 years,6252.0,New South Wales
Barton,Eligible participants,20-24 years,8287.0,New South Wales
Barton,Participation rate (%),20-24 years,75.4,New South Wales
Barton,Total participants,25-29 years,6638.0,New South Wales
Barton,Eligible participants,25-29 years,9110.0,New South Wales
Barton,Participation rate (%),25-29 years,72.9,New South Wales
Barton,Total participants,30-34 years,7531.0,New South Wales
Barton,Eligible participants,30-34 years,10578.0,New South Wales
Barton,Participation rate (%),30-34 years,71.2,New South Wales
Barton,Total participants,35-39 years,7298.0,New South Wales
Barton,Eligible participants,35-39 years,10085.0,New South Wales
Barton,Participation rate (%),35-39 years,72.4,New South Wales
Barton,Total participants,40-44 years,7520.0,New South Wales
Barton,Eligible participants,40-44 years,9830.0,New South Wales
Barton,Participation rate (%),40-44 years,76.5,New South Wales
Barton,Total participants,45-49 years,7849.0,New South Wales
Barton,Eligible participants,45-49 years,9916.0,New South Wales
Barton,Participation rate (%),45-49 years,79.2,New South Wales
Barton,Total participants,50-54 years,7431.0,New South Wales
Barton,Eligible participants,50-54 years,9323.0,New South Wales
Barton,Participation rate (%),50-54 years,79.7,New South Wales
Barton,Total participants,55-59 years,6740.0,New South Wales
Barton,Eligible participants,55-59 years,8476.0,New South Wales
Barton,Participation rate (%),55-59 years,79.5,New South Wales
Barton,Total participants,60-64 years,6165.0,New South Wales
Barton,Eligible participants,60-64 years,7518.0,New South Wales
Barton,Participation rate (%),60-64 years,82.0,New South Wales
Barton,Total participants,65-69 years,5650.0,New South Wales
Barton,Eligible participants,65-69 years,6646.0,New South Wales
Barton,Participation rate (%),65-69 years,85.0,New South Wales
Barton,Total participants,70-74 years,4711.0,New South Wales
Barton,Eligible participants,70-74 years,5471.0,New South Wales
Barton,Participation rate (%),70-74 years,86.1,New South Wales
Barton,Total participants,75-79 years,3754.0,New South Wales
Barton,Eligible participants,75-79 years,4338.0,New South Wales
Barton,Participation rate (%),75-79 years,86.5,New South Wales
Barton,Total participants,80-84 years,2848.0,New South Wales
Barton,Eligible participants,80-84 years,3431.0,New South Wales
Barton,Participation rate (%),80-84 years,83.0,New South Wales
Barton,Total participants,85 years and over,2542.0,New South Wales
Barton,Eligible participants,85 years and over,3310.0,New South Wales
Barton,Participation rate (%),85 years and over,76.8,New South Wales
Barton,Total participants,Age or gender ndf,396.0,New South Wales
Barton,Eligible participants,Age or gender ndf,465.0,New South Wales
Barton,Participation rate (%),Age or gender ndf,85.2,New South Wales
Barton,Total participants,Total Persons,85363.0,New South Wales
Barton,Eligible participants,Total Persons,109371.0,New South Wales
Barton,Participation rate (%),Total Persons,78.0,New South Wales
Bennelong,Total participants,18-19 years,2355.0,New South Wales
Bennelong,Eligible participants,18-19 years,2886.0,New South Wales
Bennelong,Participation rate (%),18-19 years,81.6,New South Wales
Bennelong,Total participants,20-24 years,6842.0,New South Wales
Bennelong,Eligible participants,20-24 years,8756.0,New South Wales
Bennelong,Participation rate (%),20-24 years,78.1,New South Wales
Bennelong,Total participants,25-29 years,6226.0,New South Wales
Bennelong,Eligible participants,25-29 years,8282.0,New South Wales
Bennelong,Participation rate (%),25-29 years,75.2,New South Wales
Bennelong,Total participants,30-34 years,6583.0,New South Wales
Bennelong,Eligible participants,30-34 years,9000.0,New South Wales
Bennelong,Participation rate (%),30-34 years,73.1,New South Wales
Bennelong,Total participants,35-39 years,6996.0,New South Wales
Bennelong,Eligible participants,35-39 years,9516.0,New South Wales
Bennelong,Participation rate (%),35-39 years,73.5,New South Wales
Bennelong,Total participants,40-44 years,7026.0,New South Wales
Bennelong,Eligible participants,40-44 years,9047.0,New South Wales
Bennelong,Participation rate (%),40-44 years,77.7,New South Wales
Bennelong,Total participants,45-49 years,7687.0,New South Wales
Bennelong,Eligible participants,45-49 years,9424.0,New South Wales
Bennelong,Participation rate (%),45-49 years,81.6,New South Wales
Bennelong,Total participants,50-54 years,7838.0,New South Wales
Bennelong,Eligible participants,50-54 years,9469.0,New South Wales
Bennelong,Participation rate (%),50-54 years,82.8,New South Wales
Bennelong,Total participants,55-59 years,7587.0,New South Wales
Bennelong,Eligible participants,55-59 years,8961.0,New South Wales
Bennelong,Participation rate (%),55-59 years,84.7,New South Wales
Bennelong,Total participants,60-64 years,6904.0,New South Wales
Bennelong,Eligible participants,60-64 years,7940.0,New South Wales
Bennelong,Participation rate (%),60-64 years,87.0,New South Wales
Bennelong,Total participants,65-69 years,5868.0,New South Wales
Bennelong,Eligible participants,65-69 years,6591.0,New South Wales
Bennelong,Participation rate (%),65-69 years,89.0,New South Wales
Bennelong,Total participants,70-74 years,4475.0,New South Wales
Bennelong,Eligible participants,70-74 years,4957.0,New South Wales
Bennelong,Participation rate (%),70-74 years,90.3,New South Wales
Bennelong,Total participants,75-79 years,3542.0,New South Wales
Bennelong,Eligible participants,75-79 years,3930.0,New South Wales
Bennelong,Participation rate (%),75-79 years,90.1,New South Wales
Bennelong,Total participants,80-84 years,2806.0,New South Wales
Bennelong,Eligible participants,80-84 years,3188.0,New South Wales
Bennelong,Participation rate (%),80-84 years,88.0,New South Wales
Bennelong,Total participants,85 years and over,3187.0,New South Wales
Bennelong,Eligible participants,85 years and over,3857.0,New South Wales
Bennelong,Participation rate (%),85 years and over,82.6,New South Wales
Bennelong,Total participants,Age or gender ndf,480.0,New South Wales
Bennelong,Eligible participants,Age or gender ndf,571.0,New South Wales
Bennelong,Participation rate (%),Age or gender ndf,84.1,New South Wales
Bennelong,Total participants,Total Persons,86402.0,New South Wales
Bennelong,Eligible participants,Total Persons,106375.0,New South Wales
Bennelong,Participation rate (%),Total Persons,81.2,New South Wales
Berowra,Total participants,18-19 years,3085.0,New South Wales
Berowra,Eligible participants,18-19 years,3739.0,New South Wales
Berowra,Participation rate (%),18-19 years,82.5,New South Wales
Berowra,Total participants,20-24 years,7566.0,New South Wales
Berowra,Eligible participants,20-24 years,9258.0,New South Wales
Berowra,Participation rate (%),20-24 years,81.7,New South Wales
Berowra,Total participants,25-29 years,5303.0,New South Wales
Berowra,Eligible participants,25-29 years,6723.0,New South Wales
Berowra,Participation rate (%),25-29 years,78.9,New South Wales
Berowra,Total participants,30-34 years,4642.0,New South Wales
Berowra,Eligible participants,30-34 years,5911.0,New South Wales
Berowra,Participation rate (%),30-34 years,78.5,New South Wales
Berowra,Total participants,35-39 years,5678.0,New South Wales
Berowra,Eligible participants,35-39 years,7206.0,New South Wales
Berowra,Participation rate (%),35-39 years,78.8,New South Wales
Berowra,Total participants,40-44 years,7328.0,New South Wales
Berowra,Eligible participants,40-44 years,9143.0,New South Wales
Berowra,Participation rate (%),40-44 years,80.1,New South Wales
Berowra,Total participants,45-49 years,8414.0,New South Wales
Berowra,Eligible participants,45-49 years,10190.0,New South Wales
Berowra,Participation rate (%),45-49 years,82.6,New South Wales
Berowra,Total participants,50-54 years,8552.0,New South Wales
Berowra,Eligible participants,50-54 years,10015.0,New South Wales
Berowra,Participation rate (%),50-54 years,85.4,New South Wales
Berowra,Total participants,55-59 years,8761.0,New South Wales
Berowra,Eligible participants,55-59 years,10013.0,New South Wales
Berowra,Participation rate (%),55-59 years,87.5,New South Wales
Berowra,Total participants,60-64 years,7599.0,New South Wales
Berowra,Eligible participants,60-64 years,8521.0,New South Wales
Berowra,Participation rate (%),60-64 years,89.2,New South Wales
Berowra,Total participants,65-69 years,6636.0,New South Wales
Berowra,Eligible participants,65-69 years,7278.0,New South Wales
Berowra,Participation rate (%),65-69 years,91.2,New South Wales
Berowra,Total participants,70-74 years,5760.0,New South Wales
Berowra,Eligible participants,70-74 years,6215.0,New South Wales
Berowra,Participation rate (%),70-74 years,92.7,New South Wales
Berowra,Total participants,75-79 years,3891.0,New South Wales
Berowra,Eligible participants,75-79 years,4220.0,New South Wales
Berowra,Participation rate (%),75-79 years,92.2,New South Wales
Berowra,Total participants,80-84 years,2542.0,New South Wales
Berowra,Eligible participants,80-84 years,2787.0,New South Wales
Berowra,Participation rate (%),80-84 years,91.2,New South Wales
Berowra,Total participants,85 years and over,2694.0,New South Wales
Berowra,Eligible participants,85 years and over,3168.0,New South Wales
Berowra,Participation rate (%),85 years and over,85.0,New South Wales
Berowra,Total participants,Age or gender ndf,601.0,New South Wales
Berowra,Eligible participants,Age or gender ndf,703.0,New South Wales
Berowra,Participation rate (%),Age or gender ndf,85.5,New South Wales
Berowra,Total participants,Total Persons,89052.0,New South Wales
Berowra,Eligible participants,Total Persons,105090.0,New South Wales
Berowra,Participation rate (%),Total Persons,84.7,New South Wales
Blaxland,Total participants,18-19 years,2368.0,New South Wales
Blaxland,Eligible participants,18-19 years,3150.0,New South Wales
Blaxland,Participation rate (%),18-19 years,75.2,New South Wales
Blaxland,Total participants,20-24 years,7161.0,New South Wales
Blaxland,Eligible participants,20-24 years,9822.0,New South Wales
Blaxland,Participation rate (%),20-24 years,72.9,New South Wales
Blaxland,Total participants,25-29 years,6616.0,New South Wales
Blaxland,Eligible participants,25-29 years,9466.0,New South Wales
Blaxland,Participation rate (%),25-29 years,69.9,New South Wales
Blaxland,Total participants,30-34 years,6617.0,New South Wales
Blaxland,Eligible participants,30-34 years,9607.0,New South Wales
