area,statistic,age_category,quantity,State,gender
Banks,Total participants,18-19 years,1253.0,New South Wales,female
Banks,Eligible participants,18-19 years,1514.0,New South Wales,female
Banks,Participation rate (%),18-19 years,82.8,New South Wales,female
Banks,Total participants,20-24 years,3263.0,New South Wales,female
Banks,Eligible participants,20-24 years,4095.0,New South Wales,female
Banks,Participation rate (%),20-24 years,79.7,New South Wales,female
Banks,Total participants,25-29 years,3015.0,New South Wales,female
Banks,Eligible participants,25-29 years,3959.0,New South Wales,female
Banks,Participation rate (%),25-29 years,76.2,New South Wales,female
Banks,Total participants,30-34 years,3018.0,New South Wales,female
Banks,Eligible participants,30-34 years,4070.0,New South Wales,female
Banks,Participation rate (%),30-34 years,74.2,New South Wales,female
Banks,Total participants,35-39 years,3354.0,New South Wales,female
Banks,Eligible participants,35-39 years,4362.0,New South Wales,female
Banks,Participation rate (%),35-39 years,76.9,New South Wales,female
Banks,Total participants,40-44 years,3554.0,New South Wales,female
Banks,Eligible participants,40-44 years,4511.0,New South Wales,female
Banks,Participation rate (%),40-44 years,78.8,New South Wales,female
Banks,Total participants,45-49 years,3877.0,New South Wales,female
Banks,Eligible participants,45-49 years,4871.0,New South Wales,female
Banks,Participation rate (%),45-49 years,79.6,New South Wales,female
Banks,Total participants,50-54 years,3932.0,New South Wales,female
Banks,Eligible participants,50-54 years,4787.0,New South Wales,female
Banks,Participation rate (%),50-54 years,82.1,New South Wales,female
Banks,Total participants,55-59 years,3988.0,New South Wales,female
Banks,Eligible participants,55-59 years,4726.0,New South Wales,female
Banks,Participation rate (%),55-59 years,84.4,New South Wales,female
Banks,Total participants,60-64 years,3504.0,New South Wales,female
Banks,Eligible participants,60-64 years,4069.0,New South Wales,female
Banks,Participation rate (%),60-64 years,86.1,New South Wales,female
Banks,Total participants,65-69 years,3093.0,New South Wales,female
Banks,Eligible participants,65-69 years,3520.0,New South Wales,female
Banks,Participation rate (%),65-69 years,87.9,New South Wales,female
Banks,Total participants,70-74 years,2540.0,New South Wales,female
Banks,Eligible participants,70-74 years,2870.0,New South Wales,female
Banks,Participation rate (%),70-74 years,88.5,New South Wales,female
Banks,Total participants,75-79 years,2085.0,New South Wales,female
Banks,Eligible participants,75-79 years,2329.0,New South Wales,female
Banks,Participation rate (%),75-79 years,89.5,New South Wales,female
Banks,Total participants,80-84 years,1672.0,New South Wales,female
Banks,Eligible participants,80-84 years,1943.0,New South Wales,female
Banks,Participation rate (%),80-84 years,86.1,New South Wales,female
Banks,Total participants,85 years and over,2018.0,New South Wales,female
Banks,Eligible participants,85 years and over,2528.0,New South Wales,female
Banks,Participation rate (%),85 years and over,79.8,New South Wales,female
Banks,Total participants,Total Females,44166.0,New South Wales,female
Banks,Eligible participants,Total Females,54154.0,New South Wales,female
Banks,Participation rate (%),Total Females,81.6,New South Wales,female
Barton,Total participants,18-19 years,1061.0,New South Wales,female
Barton,Eligible participants,18-19 years,1309.0,New South Wales,female
Barton,Participation rate (%),18-19 years,81.1,New South Wales,female
Barton,Total participants,20-24 years,3205.0,New South Wales,female
Barton,Eligible participants,20-24 years,4101.0,New South Wales,female
Barton,Participation rate (%),20-24 years,78.2,New South Wales,female
Barton,Total participants,25-29 years,3407.0,New South Wales,female
Barton,Eligible participants,25-29 years,4516.0,New South Wales,female
Barton,Participation rate (%),25-29 years,75.4,New South Wales,female
Barton,Total participants,30-34 years,3853.0,New South Wales,female
Barton,Eligible participants,30-34 years,5273.0,New South Wales,female
Barton,Participation rate (%),30-34 years,73.1,New South Wales,female
Barton,Total participants,35-39 years,3631.0,New South Wales,female
Barton,Eligible participants,35-39 years,4909.0,New South Wales,female
Barton,Participation rate (%),35-39 years,74.0,New South Wales,female
Barton,Total participants,40-44 years,3847.0,New South Wales,female
Barton,Eligible participants,40-44 years,4895.0,New South Wales,female
Barton,Participation rate (%),40-44 years,78.6,New South Wales,female
Barton,Total participants,45-49 years,4105.0,New South Wales,female
Barton,Eligible participants,45-49 years,5064.0,New South Wales,female
Barton,Participation rate (%),45-49 years,81.1,New South Wales,female
Barton,Total participants,50-54 years,3821.0,New South Wales,female
Barton,Eligible participants,50-54 years,4761.0,New South Wales,female
Barton,Participation rate (%),50-54 years,80.3,New South Wales,female
Barton,Total participants,55-59 years,3449.0,New South Wales,female
Barton,Eligible participants,55-59 years,4314.0,New South Wales,female
Barton,Participation rate (%),55-59 years,79.9,New South Wales,female
Barton,Total participants,60-64 years,3217.0,New South Wales,female
Barton,Eligible participants,60-64 years,3848.0,New South Wales,female
Barton,Participation rate (%),60-64 years,83.6,New South Wales,female
Barton,Total participants,65-69 years,2930.0,New South Wales,female
Barton,Eligible participants,65-69 years,3401.0,New South Wales,female
Barton,Participation rate (%),65-69 years,86.2,New South Wales,female
Barton,Total participants,70-74 years,2418.0,New South Wales,female
Barton,Eligible participants,70-74 years,2786.0,New South Wales,female
Barton,Participation rate (%),70-74 years,86.8,New South Wales,female
Barton,Total participants,75-79 years,1979.0,New South Wales,female
Barton,Eligible participants,75-79 years,2339.0,New South Wales,female
Barton,Participation rate (%),75-79 years,84.6,New South Wales,female
Barton,Total participants,80-84 years,1525.0,New South Wales,female
Barton,Eligible participants,80-84 years,1832.0,New South Wales,female
Barton,Participation rate (%),80-84 years,83.2,New South Wales,female
Barton,Total participants,85 years and over,1431.0,New South Wales,female
Barton,Eligible participants,85 years and over,1942.0,New South Wales,female
Barton,Participation rate (%),85 years and over,73.7,New South Wales,female
Barton,Total participants,Total Females,43879.0,New South Wales,female
Barton,Eligible participants,Total Females,55290.0,New South Wales,female
Barton,Participation rate (%),Total Females,79.4,New South Wales,female
Bennelong,Total participants,18-19 years,1178.0,New South Wales,female
Bennelong,Eligible participants,18-19 years,1398.0,New South Wales,female
Bennelong,Participation rate (%),18-19 years,84.3,New South Wales,female
Bennelong,Total participants,20-24 years,3486.0,New South Wales,female
Bennelong,Eligible participants,20-24 years,4264.0,New South Wales,female
Bennelong,Participation rate (%),20-24 years,81.8,New South Wales,female
Bennelong,Total participants,25-29 years,3120.0,New South Wales,female
Bennelong,Eligible participants,25-29 years,3966.0,New South Wales,female
Bennelong,Participation rate (%),25-29 years,78.7,New South Wales,female
Bennelong,Total participants,30-34 years,3338.0,New South Wales,female
Bennelong,Eligible participants,30-34 years,4420.0,New South Wales,female
Bennelong,Participation rate (%),30-34 years,75.5,New South Wales,female
Bennelong,Total participants,35-39 years,3592.0,New South Wales,female
Bennelong,Eligible participants,35-39 years,4724.0,New South Wales,female
Bennelong,Participation rate (%),35-39 years,76.0,New South Wales,female
Bennelong,Total participants,40-44 years,3621.0,New South Wales,female
Bennelong,Eligible participants,40-44 years,4584.0,New South Wales,female
Bennelong,Participation rate (%),40-44 years,79.0,New South Wales,female
Bennelong,Total participants,45-49 years,4124.0,New South Wales,female
Bennelong,Eligible participants,45-49 years,4968.0,New South Wales,female
Bennelong,Participation rate (%),45-49 years,83.0,New South Wales,female
Bennelong,Total participants,50-54 years,4096.0,New South Wales,female
Bennelong,Eligible participants,50-54 years,4883.0,New South Wales,female
Bennelong,Participation rate (%),50-54 years,83.9,New South Wales,female
Bennelong,Total participants,55-59 years,3930.0,New South Wales,female
Bennelong,Eligible participants,55-59 years,4594.0,New South Wales,female
Bennelong,Participation rate (%),55-59 years,85.5,New South Wales,female
Bennelong,Total participants,60-64 years,3603.0,New South Wales,female
Bennelong,Eligible participants,60-64 years,4110.0,New South Wales,female
Bennelong,Participation rate (%),60-64 years,87.7,New South Wales,female
Bennelong,Total participants,65-69 years,3005.0,New South Wales,female
Bennelong,Eligible participants,65-69 years,3352.0,New South Wales,female
Bennelong,Participation rate (%),65-69 years,89.6,New South Wales,female
Bennelong,Total participants,70-74 years,2351.0,New South Wales,female
Bennelong,Eligible participants,70-74 years,2606.0,New South Wales,female
Bennelong,Participation rate (%),70-74 years,90.2,New South Wales,female
Bennelong,Total participants,75-79 years,1922.0,New South Wales,female
Bennelong,Eligible participants,75-79 years,2145.0,New South Wales,female
Bennelong,Participation rate (%),75-79 years,89.6,New South Wales,female
Bennelong,Total participants,80-84 years,1585.0,New South Wales,female
Bennelong,Eligible participants,80-84 years,1817.0,New South Wales,female
Bennelong,Participation rate (%),80-84 years,87.2,New South Wales,female
Bennelong,Total participants,85 years and over,1992.0,New South Wales,female
Bennelong,Eligible participants,85 years and over,2435.0,New South Wales,female
Bennelong,Participation rate (%),85 years and over,81.8,New South Wales,female
Bennelong,Total participants,Total Females,44943.0,New South Wales,female
Bennelong,Eligible participants,Total Females,54266.0,New South Wales,female
Bennelong,Participation rate (%),Total Females,82.8,New South Wales,female
Berowra,Total participants,18-19 years,1562.0,New South Wales,female
