area,vote_yes_qty,vote_yes_pct,vote_no_qty,vote_no_pct,vote_total_qty,State
Banks,37736.0,44.9,46343.0,55.1,84079.0,New South Wales
Barton,37153.0,43.6,47984.0,56.4,85137.0,New South Wales
Bennelong,42943.0,49.8,43215.0,50.2,86158.0,New South Wales
Berowra,48471.0,54.6,40369.0,45.4,88840.0,New South Wales
Blaxland,20406.0,26.1,57926.0,73.9,78332.0,New South Wales
Bradfield,53681.0,60.6,34927.0,39.4,88608.0,New South Wales
Calare,54091.0,60.2,35779.0,39.8,89870.0,New South Wales
Chifley,32871.0,41.3,46702.0,58.7,79573.0,New South Wales
Cook,47505.0,55.0,38804.0,45.0,86309.0,New South Wales
Cowper,57493.0,60.0,38317.0,40.0,95810.0,New South Wales
Cunningham,60906.0,65.7,31840.0,34.3,92746.0,New South Wales
Dobell,59475.0,65.7,30987.0,34.3,90462.0,New South Wales
Eden-Monaro,57223.0,64.9,30926.0,35.1,88149.0,New South Wales
Farrer,48432.0,55.2,39297.0,44.8,87729.0,New South Wales
Fowler,27847.0,36.3,48782.0,63.7,76629.0,New South Wales
Gilmore,59322.0,62.0,36386.0,38.0,95708.0,New South Wales
Grayndler,73208.0,79.9,18429.0,20.1,91637.0,New South Wales
Greenway,38016.0,46.4,43980.0,53.6,81996.0,New South Wales
Hughes,51337.0,58.4,36558.0,41.6,87895.0,New South Wales
Hume,51284.0,58.6,36271.0,41.4,87555.0,New South Wales
Hunter,59137.0,64.4,32723.0,35.6,91860.0,New South Wales
Kingsford Smith,56297.0,64.1,31510.0,35.9,87807.0,New South Wales
Lindsay,49071.0,56.2,38295.0,43.8,87366.0,New South Wales
Lyne,51416.0,55.3,41539.0,44.7,92955.0,New South Wales
Macarthur,43323.0,52.1,39907.0,47.9,83230.0,New South Wales
Mackellar,62350.0,68.0,29330.0,32.0,91680.0,New South Wales
Macquarie,56180.0,63.9,31778.0,36.1,87958.0,New South Wales
McMahon,29146.0,35.1,53967.0,64.9,83113.0,New South Wales
Mitchell,42112.0,49.1,43652.0,50.9,85764.0,New South Wales
Newcastle,71158.0,74.8,23999.0,25.2,95157.0,New South Wales
New England,44608.0,52.5,40324.0,47.5,84932.0,New South Wales
North Sydney,64813.0,71.8,25473.0,28.2,90286.0,New South Wales
Page,55943.0,59.7,37727.0,40.3,93670.0,New South Wales
Parkes,41408.0,52.7,37108.0,47.3,78516.0,New South Wales
Parramatta,29299.0,38.4,47038.0,61.6,76337.0,New South Wales
Paterson,60915.0,65.5,32059.0,34.5,92974.0,New South Wales
Reid,43567.0,52.7,39061.0,47.3,82628.0,New South Wales
Richmond,62591.0,67.9,29625.0,32.1,92216.0,New South Wales
Riverina,47333.0,54.6,39308.0,45.4,86641.0,New South Wales
Robertson,58689.0,65.7,30614.0,34.3,89303.0,New South Wales
Shortland,62455.0,67.7,29836.0,32.3,92291.0,New South Wales
Sydney,76144.0,83.7,14860.0,16.3,91004.0,New South Wales
Warringah,64999.0,75.0,21660.0,25.0,86659.0,New South Wales
Watson,24915.0,30.4,57160.0,69.6,82075.0,New South Wales
Wentworth,69279.0,80.8,16410.0,19.2,85689.0,New South Wales
Werriwa,30252.0,36.3,53174.0,63.7,83426.0,New South Wales
Whitlam,57562.0,62.3,34879.0,37.7,92441.0,New South Wales
Aston,48455.0,62.0,29730.0,38.0,78185.0,Victoria
Ballarat,65613.0,70.5,27405.0,29.5,93018.0,Victoria
Batman,66383.0,71.2,26906.0,28.8,93289.0,Victoria
Bendigo,63412.0,68.7,28852.0,31.3,92264.0,Victoria
Bruce,34644.0,46.9,39203.0,53.1,73847.0,Victoria
Calwell,37839.0,43.2,49823.0,56.8,87662.0,Victoria
Casey,59959.0,68.1,28144.0,31.9,88103.0,Victoria
Chisholm,49448.0,61.6,30844.0,38.4,80292.0,Victoria
Corangamite,69723.0,71.6,27708.0,28.4,97431.0,Victoria
Corio,62658.0,67.7,29865.0,32.3,92523.0,Victoria
Deakin,55464.0,65.7,28973.0,34.3,84437.0,Victoria
Dunkley,62840.0,72.0,24471.0,28.0,87311.0,Victoria
Flinders,68291.0,70.0,29275.0,30.0,97566.0,Victoria
Gellibrand,62045.0,68.1,29065.0,31.9,91110.0,Victoria
Gippsland,51196.0,60.2,33910.0,39.8,85106.0,Victoria
Goldstein,69726.0,76.3,21663.0,23.7,91389.0,Victoria
Gorton,49834.0,53.3,43587.0,46.7,93421.0,Victoria
Higgins,70059.0,78.3,19375.0,21.7,89434.0,Victoria
Holt,47147.0,50.7,45875.0,49.3,93022.0,Victoria
Hotham,47986.0,59.6,32524.0,40.4,80510.0,Victoria
Indi,54563.0,63.1,31925.0,36.9,86488.0,Victoria
Isaacs,56645.0,65.3,30063.0,34.7,86708.0,Victoria
Jagajaga,65098.0,73.5,23453.0,26.5,88551.0,Victoria
Kooyong,63592.0,73.7,22729.0,26.3,86321.0,Victoria
Lalor,57062.0,56.8,43429.0,43.2,100491.0,Victoria
La Trobe,61807.0,67.5,29826.0,32.5,91633.0,Victoria
Mallee,42495.0,54.3,35795.0,45.7,78290.0,Victoria
Maribyrnong,53208.0,59.9,35658.0,40.1,88866.0,Victoria
McEwen,73705.0,65.4,39007.0,34.6,112712.0,Victoria
McMillan,61479.0,62.7,36500.0,37.3,97979.0,Victoria
Melbourne,81287.0,83.7,15839.0,16.3,97126.0,Victoria
Melbourne Ports,70589.0,82.0,15523.0,18.0,86112.0,Victoria
Menzies,47137.0,57.0,35626.0,43.0,82763.0,Victoria
Murray,48205.0,57.6,35452.0,42.4,83657.0,Victoria
Scullin,48245.0,53.4,42147.0,46.6,90392.0,Victoria
Wannon,49340.0,61.0,31529.0,39.0,80869.0,Victoria
Wills,68450.0,70.0,29399.0,30.0,97849.0,Victoria
Blair,47194.0,60.0,31433.0,40.0,78627.0,Queensland
Bonner,52139.0,62.0,31891.0,38.0,84030.0,Queensland
Bowman,53529.0,62.1,32627.0,37.9,86156.0,Queensland
Brisbane,72812.0,79.5,18762.0,20.5,91574.0,Queensland
Capricornia,39917.0,54.1,33917.0,45.9,73834.0,Queensland
Dawson,42539.0,55.1,34599.0,44.9,77138.0,Queensland
Dickson,54206.0,65.2,28988.0,34.8,83194.0,Queensland
Fadden,52154.0,61.8,32218.0,38.2,84372.0,Queensland
Fairfax,58510.0,64.3,32451.0,35.7,90961.0,Queensland
Fisher,52023.0,62.8,30783.0,37.2,82806.0,Queensland
Flynn,39020.0,51.5,36783.0,48.5,75803.0,Queensland
Forde,46937.0,60.5,30585.0,39.5,77522.0,Queensland
Griffith,69171.0,76.6,21132.0,23.4,90303.0,Queensland
Groom,40536.0,49.2,41915.0,50.8,82451.0,Queensland
Herbert,48110.0,62.8,28441.0,37.2,76551.0,Queensland
Hinkler,40649.0,50.7,39548.0,49.3,80197.0,Queensland
Kennedy,33160.0,46.7,37784.0,53.3,70944.0,Queensland
Leichhardt,47750.0,63.4,27606.0,36.6,75356.0,Queensland
Lilley,59991.0,67.7,28671.0,32.3,88662.0,Queensland
Longman,51268.0,60.4,33576.0,39.6,84844.0,Queensland
Maranoa,35475.0,43.9,45308.0,56.1,80783.0,Queensland
McPherson,54034.0,65.5,28486.0,34.5,82520.0,Queensland
Moncrieff,50566.0,63.8,28717.0,36.2,79283.0,Queensland
Moreton,47418.0,60.9,30413.0,39.1,77831.0,Queensland
Oxley,44655.0,60.3,29365.0,39.7,74020.0,Queensland
Petrie,53144.0,61.6,33067.0,38.4,86211.0,Queensland
Rankin,41570.0,54.6,34621.0,45.4,76191.0,Queensland
Ryan,64967.0,72.7,24451.0,27.3,89418.0,Queensland
Wide Bay,46507.0,55.6,37065.0,44.4,83572.0,Queensland
Wright,47109.0,56.8,35812.0,43.2,82921.0,Queensland
Adelaide,62769.0,70.1,26771.0,29.9,89540.0,South Australia
Barker,42498.0,52.3,38827.0,47.7,81325.0,South Australia
Boothby,62139.0,68.5,28556.0,31.5,90695.0,South Australia
Grey,40811.0,53.3,35750.0,46.7,76561.0,South Australia
Hindmarsh,57947.0,63.3,33613.0,36.7,91560.0,South Australia
Kingston,58863.0,68.1,27567.0,31.9,86430.0,South Australia
Makin,51547.0,60.4,33743.0,39.6,85290.0,South Australia
Mayo,57361.0,64.7,31247.0,35.3,88608.0,South Australia
Port Adelaide,53649.0,61.3,33869.0,38.7,87518.0,South Australia
Sturt,52308.0,61.6,32655.0,38.4,84963.0,South Australia
Wakefield,52636.0,61.0,33649.0,39.0,86285.0,South Australia
Brand,51953.0,67.1,25481.0,32.9,77434.0,Western Australia
Burt,44058.0,57.0,33275.0,43.0,77333.0,Western Australia
Canning,48486.0,60.2,32019.0,39.8,80505.0,Western Australia
Cowan,44388.0,58.8,31075.0,41.2,75463.0,Western Australia
Curtin,59638.0,72.2,22943.0,27.8,82581.0,Western Australia
Durack,39304.0,59.2,27128.0,40.8,66432.0,Western Australia
Forrest,51612.0,63.8,29285.0,36.2,80897.0,Western Australia
Fremantle,57541.0,70.1,24559.0,29.9,82100.0,Western Australia
Hasluck,47880.0,62.4,28836.0,37.6,76716.0,Western Australia
Moore,56690.0,68.0,26690.0,32.0,83380.0,Western Australia
O'Connor,43554.0,56.2,33987.0,43.8,77541.0,Western Australia
Pearce,54305.0,63.9,30699.0,36.1,85004.0,Western Australia
Perth,57510.0,71.5,22967.0,28.5,80477.0,Western Australia
Stirling,47225.0,61.1,30060.0,38.9,77285.0,Western Australia
Swan,49093.0,64.7,26830.0,35.3,75923.0,Western Australia
Tangney,48338.0,61.6,30090.0,38.4,78428.0,Western Australia
Bass,36249.0,61.7,22510.0,38.3,58759.0,Tasmania
Braddon,30054.0,54.0,25573.0,46.0,55627.0,Tasmania
Denison,45005.0,73.8,15992.0,26.2,60997.0,Tasmania
Franklin,44746.0,68.8,20322.0,31.2,65068.0,Tasmania
Lyons,35894.0,58.7,25258.0,41.3,61152.0,Tasmania
Lingiari,19026.0,54.5,15898.0,45.5,34924.0,Northern Territory
Solomon,29660.0,65.3,15792.0,34.7,45452.0,Northern Territory
Canberra,89590.0,74.1,31361.0,25.9,120951.0,Australian Capital Territory
Fenner,85869.0,74.0,30159.0,26.0,116028.0,Australian Capital Territory
